SalePrice,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea
208500,60,8450,7,5,2003,2003,0,150,856,856,854,3,1,8,0,2,548
181500,20,9600,6,8,1976,1976,0,284,1262,1262,0,3,1,6,1,2,460
223500,60,11250,7,5,2001,2002,0,434,920,920,866,3,1,6,1,2,608
140000,70,9550,7,5,1915,1970,0,540,756,961,756,3,1,7,1,3,642
250000,60,14260,8,5,2000,2000,0,490,1145,1145,1053,4,1,9,1,3,836
143000,50,14115,5,5,1993,1995,0,64,796,796,566,1,1,5,0,2,480
307000,20,10084,8,5,2004,2005,0,317,1686,1694,0,3,1,7,1,2,636
200000,60,10382,7,6,1973,1973,32,216,1107,1107,983,3,1,7,2,2,484
129900,50,6120,7,5,1931,1950,0,952,952,1022,752,2,2,8,2,2,468
118000,190,7420,5,6,1939,1950,0,140,991,1077,0,2,2,5,2,1,205
129500,20,11200,5,5,1965,1965,0,134,1040,1040,0,3,1,5,0,1,384
345000,60,11924,9,5,2005,2006,0,177,1175,1182,1142,4,1,11,2,3,736
144000,20,12968,5,6,1962,1962,0,175,912,912,0,2,1,4,0,1,352
279500,20,10652,7,5,2006,2007,0,1494,1494,1494,0,3,1,7,1,3,840
157000,20,10920,6,5,1960,1960,0,520,1253,1253,0,2,1,5,1,1,352
132000,45,6120,7,8,1929,2001,0,832,832,854,0,2,1,5,0,2,576
149000,20,11241,6,7,1970,1970,0,426,1004,1004,0,2,1,5,1,2,480
90000,90,10791,4,5,1967,1967,0,0,0,1296,0,2,2,6,0,2,516
159000,20,13695,5,5,2004,2004,0,468,1114,1114,0,3,1,6,0,2,576
139000,20,7560,5,6,1958,1965,0,525,1029,1339,0,3,1,6,0,1,294
325300,60,14215,8,5,2005,2006,0,1158,1158,1158,1218,4,1,9,1,3,853
139400,45,7449,7,7,1930,1950,0,637,637,1108,0,3,1,6,1,1,280
230000,20,9742,8,5,2002,2002,0,1777,1777,1795,0,3,1,7,1,2,534
129900,120,4224,5,7,1976,1976,0,200,1040,1060,0,3,1,6,1,2,572
154000,20,8246,5,8,1968,2001,668,204,1060,1060,0,3,1,6,1,1,270
256300,20,14230,8,5,2007,2007,0,1566,1566,1600,0,3,1,7,1,3,890
134800,20,7200,5,7,1951,2000,486,180,900,900,0,3,1,5,0,2,576
306000,20,11478,8,5,2007,2008,0,486,1704,1704,0,3,1,7,1,3,772
207500,20,16321,5,6,1957,1997,0,207,1484,1600,0,2,1,6,2,1,319
68500,30,6324,4,6,1927,1950,0,520,520,520,0,1,1,4,0,1,240
40000,70,8500,4,4,1920,1950,0,649,649,649,668,3,1,6,0,1,250
149350,20,8544,5,6,1966,2006,0,1228,1228,1228,0,3,1,6,0,1,271
179900,20,11049,8,5,2007,2007,0,1234,1234,1234,0,3,1,7,0,2,484
165500,20,10552,5,5,1959,1959,0,380,1398,1700,0,4,1,6,1,2,447
277500,120,7313,9,5,2005,2005,0,408,1561,1561,0,2,1,6,1,2,556
309000,60,13418,8,5,2004,2005,0,1117,1117,1132,1320,4,1,9,1,3,691
145000,20,10859,5,5,1994,1995,0,1097,1097,1097,0,3,1,6,0,2,672
153000,20,8532,5,6,1954,1990,0,84,1297,1297,0,3,1,5,1,2,498
109000,20,7922,5,7,1953,2007,0,326,1057,1057,0,3,1,5,0,1,246
82000,90,6040,4,5,1955,1955,0,0,0,1152,0,2,2,6,0,0,0
160000,20,8658,6,5,1965,1965,0,445,1088,1324,0,3,1,6,1,2,440
170000,20,16905,5,6,1959,1959,0,383,1350,1328,0,2,1,5,2,1,308
144000,85,9180,5,7,1983,1983,93,0,840,884,0,2,1,5,0,2,504
130250,20,9200,5,6,1975,1980,491,167,938,938,0,3,1,5,0,1,308
